subjCode,orderOfSelection,objectName,objectNumber,orderOfRandomPresentationDuringTest,environmentCondition_VS_1to4_ES_5,learningRepetitionsForMemorizingTheLayout,Gender_Male_1_Female_2,Age,NauseousDuringExperiment_Yes_1_No_2,experiencesInVirtualReality_None_1_Expert_5,SenseOfDirection_VeryBad_1_VeryGood_5
38,2,hammer,3,5,3,2,2,23,2,2,3
38,3,horse,2,1,3,2,2,23,2,2,3
38,4,banana,4,3,3,2,2,23,2,2,3
38,5,hairdryer,5,4,3,2,2,23,2,2,3
38,6,trumpet,6,6,3,2,2,23,2,2,3
38,7,racket,7,2,3,2,2,23,2,2,3
60,1,banana,4,4,3,2,2,27,2,4,4
60,2,hammer,3,3,3,2,2,27,2,4,4
60,3,teapot,1,2,3,2,2,27,2,4,4
60,4,hairdryer,5,6,3,2,2,27,2,4,4
60,5,trumpet,6,1,3,2,2,27,2,4,4
60,6,racket,7,5,3,2,2,27,2,4,4
60,7,horse,2,7,3,2,2,27,2,4,4
6,1,trumpet,6,4,3,1,2,22,2,4,3
6,2,teapot,1,5,3,1,2,22,2,4,3
6,3,horse,2,6,3,1,2,22,2,4,3
6,4,banana,4,7,3,1,2,22,2,4,3
6,5,racket,7,1,3,1,2,22,2,4,3
6,6,hammer,3,2,3,1,2,22,2,4,3
6,7,hairdryer,5,3,3,1,2,22,2,4,3
7,1,teapot,1,1,3,1,1,23,1,2,4
7,2,horse,2,6,3,1,1,23,1,2,4
7,3,trumpet,6,2,3,1,1,23,1,2,4
7,4,hairdryer,5,5,3,1,1,23,1,2,4
7,5,hammer,3,3,3,1,1,23,1,2,4
7,6,racket,7,7,3,1,1,23,1,2,4
7,7,banana,4,4,3,1,1,23,1,2,4
45,1,teapot,1,5,3,2,1,32,2,3,4
45,2,racket,7,2,3,2,1,32,2,3,4
45,3,horse,2,3,3,2,1,32,2,3,4
45,4,hammer,3,4,3,2,1,32,2,3,4
45,5,banana,4,6,3,2,1,32,2,3,4
45,6,hairdryer,5,1,3,2,1,32,2,3,4
45,7,trumpet,6,7,3,2,1,32,2,3,4
17,1,hairdryer,5,4,3,2,1,31,2,4,4
17,2,hammer,3,6,3,2,1,31,2,4,4
17,3,teapot,1,3,3,2,1,31,2,4,4
17,4,trumpet,6,2,3,2,1,31,2,4,4
17,5,horse,2,7,3,2,1,31,2,4,4
17,6,banana,4,1,3,2,1,31,2,4,4
17,7,racket,7,5,3,2,1,31,2,4,4
12,1,horse,2,4,3,2,2,19,1,3,4
12,2,teapot,1,7,3,2,2,19,1,3,4
12,3,hammer,3,6,3,2,2,19,1,3,4
12,4,hairdryer,5,5,3,2,2,19,1,3,4
12,5,banana,4,3,3,2,2,19,1,3,4
12,6,trumpet,6,2,3,2,2,19,1,3,4
12,7,racket,7,1,3,2,2,19,1,3,4
8,1,teapot,1,1,3,2,2,24,2,2,2
8,2,horse,2,7,3,2,2,24,2,2,2
8,3,hammer,3,2,3,2,2,24,2,2,2
8,4,banana,4,3,3,2,2,24,2,2,2
8,5,hairdryer,5,4,3,2,2,24,2,2,2
8,6,trumpet,6,6,3,2,2,24,2,2,2
8,7,racket,7,5,3,2,2,24,2,2,2
50,1,teapot,1,4,4,2,2,42,2,4,4
50,2,horse,2,7,4,2,2,42,2,4,4
50,3,banana,4,5,4,2,2,42,2,4,4
50,4,hairdryer,5,6,4,2,2,42,2,4,4
50,5,hammer,3,3,4,2,2,42,2,4,4
50,6,trumpet,6,2,4,2,2,42,2,4,4
50,7,racket,7,1,4,2,2,42,2,4,4
55,1,hammer,3,4,4,4,1,36,2,2,4
55,2,racket,7,2,4,4,1,36,2,2,4
55,3,trumpet,6,3,4,4,1,36,2,2,4
55,4,horse,2,1,4,4,1,36,2,2,4
55,5,banana,4,5,4,4,1,36,2,2,4
55,6,hairdryer,5,7,4,4,1,36,2,2,4
55,7,teapot,1,6,4,4,1,36,2,2,4
40,1,racket,7,7,4,2,2,27,1,3,3
40,2,teapot,1,3,4,2,2,27,1,3,3
40,3,horse,2,2,4,2,2,27,1,3,3
40,4,hammer,3,5,4,2,2,27,1,3,3
40,5,trumpet,6,6,4,2,2,27,1,3,3
40,6,hairdryer,5,4,4,2,2,27,1,3,3
40,7,banana,4,1,4,2,2,27,1,3,3
56,1,teapot,1,4,4,2,1,37,2,2,3
56,2,horse,2,6,4,2,1,37,2,2,3
56,3,hammer,3,7,4,2,1,37,2,2,3
56,4,banana,4,1,4,2,1,37,2,2,3
56,5,hairdryer,5,3,4,2,1,37,2,2,3
56,6,racket,7,2,4,2,1,37,2,2,3
56,7,trumpet,6,5,4,2,1,37,2,2,3
13,1,teapot,1,4,4,2,1,26,2,2,4
13,2,horse,2,5,4,2,1,26,2,2,4
13,3,banana,4,2,4,2,1,26,2,2,4
13,4,hairdryer,5,1,4,2,1,26,2,2,4
13,5,trumpet,6,7,4,2,1,26,2,2,4
13,6,hammer,3,6,4,2,1,26,2,2,4
13,7,racket,7,3,4,2,1,26,2,2,4
53,1,teapot,1,2,4,3,1,23,2,3,3
53,2,hammer,3,3,4,3,1,23,2,3,3
53,3,horse,2,4,4,3,1,23,2,3,3
53,4,hairdryer,5,5,4,3,1,23,2,3,3
53,5,racket,7,6,4,3,1,23,2,3,3
53,6,trumpet,6,1,4,3,1,23,2,3,3
53,7,banana,4,7,4,3,1,23,2,3,3
24,1,teapot,1,1,4,1,2,26,1,2,3
24,2,horse,2,2,4,1,2,26,1,2,3
24,3,hammer,3,6,4,1,2,26,1,2,3
24,4,banana,4,7,4,1,2,26,1,2,3
24,5,hairdryer,5,4,4,1,2,26,1,2,3
24,6,trumpet,6,5,4,1,2,26,1,2,3
24,7,racket,7,3,4,1,2,26,1,2,3
34,1,hairdryer,5,3,4,1,2,25,2,2,3
34,2,banana,4,2,4,1,2,25,2,2,3
34,3,horse,2,1,4,1,2,25,2,2,3
34,4,teapot,1,7,4,1,2,25,2,2,3
34,5,racket,7,6,4,1,2,25,2,2,3
34,6,hammer,3,5,4,1,2,25,2,2,3
34,7,trumpet,6,4,4,1,2,25,2,2,3
9,1,teapot,1,3,4,1,2,18,1,3,4
9,2,horse,2,5,4,1,2,18,1,3,4
9,3,banana,4,4,4,1,2,18,1,3,4
9,4,hairdryer,5,7,4,1,2,18,1,3,4
9,5,trumpet,6,2,4,1,2,18,1,3,4
9,6,racket,7,6,4,1,2,18,1,3,4
1,1,racket,7,1,4,1,2,25,2,2,3
1,2,trumpet,6,4,4,1,2,25,2,2,3
1,3,banana,4,6,4,1,2,25,2,2,3
1,4,teapot,1,7,4,1,2,25,2,2,3
1,5,horse,2,5,4,1,2,25,2,2,3
1,6,hairdryer,5,3,4,1,2,25,2,2,3
1,7,hammer,3,2,4,1,2,25,2,2,3
26,1,racket,7,1,4,1,1,18,1,3,5
26,2,trumpet,6,3,4,1,1,18,1,3,5
26,3,hairdryer,5,6,4,1,1,18,1,3,5
26,4,banana,4,4,4,1,1,18,1,3,5
26,5,hammer,3,7,4,1,1,18,1,3,5
26,6,horse,2,5,4,1,1,18,1,3,5
26,7,teapot,1,2,4,1,1,18,1,3,5
43,1,teapot,1,1,4,2,1,25,1,4,3
43,2,horse,2,2,4,2,1,25,1,4,3
43,3,hammer,3,4,4,2,1,25,1,4,3
43,4,banana,4,6,4,2,1,25,1,4,3
43,5,hairdryer,5,5,4,2,1,25,1,4,3
43,6,racket,7,3,4,2,1,25,1,4,3
43,7,trumpet,6,7,4,2,1,25,1,4,3
54,1,teapot,1,1,5,1,1,27,2,3,2
54,2,horse,2,6,5,1,1,27,2,3,2
54,3,hammer,3,7,5,1,1,27,2,3,2
54,4,banana,4,4,5,1,1,27,2,3,2
54,5,hairdryer,5,3,5,1,1,27,2,3,2
54,6,trumpet,6,2,5,1,1,27,2,3,2
54,7,racket,7,5,5,1,1,27,2,3,2
2,1,trumpet,6,4,5,2,1,36,1,4,2
2,2,hairdryer,5,1,5,2,1,36,1,4,2
2,3,teapot,1,2,5,2,1,36,1,4,2
2,4,horse,2,7,5,2,1,36,1,4,2
2,5,hammer,3,5,5,2,1,36,1,4,2
2,6,banana,4,6,5,2,1,36,1,4,2
2,7,racket,7,3,5,2,1,36,1,4,2
18,1,teapot,1,2,5,1,2,19,2,2,4
18,2,horse,2,1,5,1,2,19,2,2,4
18,3,hammer,3,4,5,1,2,19,2,2,4
18,4,banana,4,6,5,1,2,19,2,2,4
18,5,hairdryer,5,7,5,1,2,19,2,2,4
18,6,trumpet,6,5,5,1,2,19,2,2,4
18,7,racket,7,3,5,1,2,19,2,2,4
48,1,teapot,1,6,5,1,1,24,1,5,2
48,2,horse,2,5,5,1,1,24,1,5,2
48,3,hammer,3,2,5,1,1,24,1,5,2
48,4,banana,4,4,5,1,1,24,1,5,2
48,5,hairdryer,5,1,5,1,1,24,1,5,2
48,6,trumpet,6,3,5,1,1,24,1,5,2
48,7,racket,7,7,5,1,1,24,1,5,2
21,1,teapot,1,2,5,1,2,21,1,2,2
21,2,horse,2,5,5,1,2,21,1,2,2
21,3,hammer,3,3,5,1,2,21,1,2,2
21,4,hairdryer,5,6,5,1,2,21,1,2,2
21,5,banana,4,4,5,1,2,21,1,2,2
21,6,racket,7,1,5,1,2,21,1,2,2
21,7,trumpet,6,7,5,1,2,21,1,2,2
4,1,teapot,1,5,5,1,2,21,1,2,2
4,2,horse,2,7,5,1,2,21,1,2,2
4,3,hammer,3,1,5,1,2,21,1,2,2
4,4,banana,4,2,5,1,2,21,1,2,2
4,5,hairdryer,5,6,5,1,2,21,1,2,2
4,6,trumpet,6,3,5,1,2,21,1,2,2
4,7,racket,7,4,5,1,2,21,1,2,2
19,1,teapot,1,4,5,2,2,26,2,2,4
19,2,horse,2,5,5,2,2,26,2,2,4
19,3,hammer,3,2,5,2,2,26,2,2,4
19,4,banana,4,3,5,2,2,26,2,2,4
19,5,hairdryer,5,1,5,2,2,26,2,2,4
19,6,trumpet,6,6,5,2,2,26,2,2,4
19,7,racket,7,7,5,2,2,26,2,2,4
31,1,teapot,1,4,5,1,2,29,1,3,4
31,2,horse,2,1,5,1,2,29,1,3,4
31,3,hammer,3,5,5,1,2,29,1,3,4
31,4,trumpet,6,6,5,1,2,29,1,3,4
31,5,hairdryer,5,7,5,1,2,29,1,3,4
31,6,banana,4,3,5,1,2,29,1,3,4
31,7,racket,7,2,5,1,2,29,1,3,4
15,1,teapot,1,4,5,1,1,21,2,3,5
15,2,horse,2,3,5,1,1,21,2,3,5
15,3,hammer,3,5,5,1,1,21,2,3,5
15,4,banana,4,2,5,1,1,21,2,3,5
15,5,hairdryer,5,7,5,1,1,21,2,3,5
15,6,trumpet,6,6,5,1,1,21,2,3,5
15,7,racket,7,1,5,1,1,21,2,3,5
42,1,horse,2,4,5,2,2,21,2,4,2
42,2,banana,4,3,5,2,2,21,2,4,2
42,3,teapot,1,2,5,2,2,21,2,4,2
42,4,racket,7,1,5,2,2,21,2,4,2
42,5,trumpet,6,5,5,2,2,21,2,4,2
42,6,hairdryer,5,6,5,2,2,21,2,4,2
42,7,hammer,3,7,5,2,2,21,2,4,2
58,1,teapot,1,1,5,1,1,24,2,1,5
58,2,horse,2,2,5,1,1,24,2,1,5
58,3,hammer,3,4,5,1,1,24,2,1,5
58,4,banana,4,5,5,1,1,24,2,1,5
58,5,hairdryer,5,3,5,1,1,24,2,1,5
58,6,trumpet,6,6,5,1,1,24,2,1,5
58,7,racket,7,7,5,1,1,24,2,1,5
41,1,teapot,1,4,5,1,2,0,1,2,2
41,2,horse,2,7,5,1,2,0,1,2,2
41,3,hammer,3,3,5,1,2,0,1,2,2
41,4,banana,4,1,5,1,2,0,1,2,2
41,5,hairdryer,5,2,5,1,2,0,1,2,2
41,6,trumpet,6,6,5,1,2,0,1,2,2
41,7,racket,7,5,5,1,2,0,1,2,2
